Model,Precision@10,Recall@10,F1@10,NDCG@10,RMSE,MAE,Execution_Time_s,Num_Predictions
Popularity (Count),0.0488,0.3488,0.084,0.1863,0.9608,0.7173,0.18,430
Popularity (Bayesian Avg),0.0326,0.3023,0.0585,0.1706,1.0066,0.8157,0.18,430
