Model,Precision@10,Recall@10,F1@10,NDCG@10,RMSE,MAE,Execution_Time_s,Num_Predictions
Scikit-Learn (CBF-TF-IDF),0.693,0.4915,0.5488,0.6894,1.0861,0.7723,0.55,790
Gensim (CBF-Doc2Vec),0.6953,0.4938,0.5512,0.6909,1.1304,0.7777,0.79,790
CF-NMF (sklearn),0.0163,0.1628,0.0296,0.0687,3.107,2.8473,0.07,430
Hybrid-sklearn (CF+CBF),0.0023,0.0233,0.0042,0.0116,1.8338,1.6229,0.13,430
TensorFlow (Hybrid-DL),0.1333,0.7692,0.2196,0.7564,1.0124,0.8346,2.1,71
